                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8379,                 2.5152,                 0.7234,                 1.8052,                 1.9385,                0.90799,                    0.9,                 0.9286,                0.56649,                0.93526,                  0.825,                0.92032,                0.30585,                 1.2488,                 2.6275,                0.72241,                  1.072,                 1.4812,                0.00018,                0.00018,                0.00018
                      2,                 1.3617,                 2.1948,                0.70865,                 1.2096,                 1.4894,                0.92857,                      1,                  0.991,                0.54662,                0.94201,                   0.85,                0.92965,                0.35946,                 1.5762,                 2.4053,                0.72346,                 1.2594,                 1.9785,             0.00037686,             0.00037686,             0.00037686
                      3,                 1.2796,                 1.7057,                0.68587,                0.94826,                 1.4102,                0.98506,                  0.925,                 0.9908,                0.69812,                 0.9315,                  0.875,                0.91483,                0.44178,                 1.0921,                 2.2621,                0.70253,                0.99175,                 1.4617,             0.00057043,             0.00057043,             0.00057043
                      4,                 1.2522,                 1.5933,                0.68385,                0.95065,                 1.3979,                 0.9118,                  0.975,                0.98658,                0.71578,                0.85246,                    0.9,                0.86106,                0.41464,                 1.0877,                  2.112,                 0.7156,                0.98196,                 1.5197,              0.0007607,              0.0007607,              0.0007607
                      5,                 1.1252,                 1.1857,                0.66424,                0.84197,                 1.2952,                0.97523,                      1,                  0.995,                0.75329,                0.87126,                    0.9,                0.88403,                0.48275,                0.92565,                 1.8362,                0.62262,                0.95738,                 1.2788,             0.00094766,             0.00094766,             0.00094766
                      6,                 1.1889,                 1.1196,                 0.6432,                0.85537,                 1.3399,                0.93017,                  0.975,                0.99285,                0.66913,                0.73765,                   0.75,                0.72425,                0.39633,                 1.2268,                 2.3877,                 0.5606,                  2.203,                 1.6488,              0.0011313,              0.0011313,              0.0011313
                      7,                 1.1578,                 1.1819,                0.66815,                0.86135,                 1.2904,                 0.9776,                  0.975,                0.99451,                 0.7344,                0.80273,                  0.825,                  0.783,                0.42458,                 1.0488,                 2.1194,                0.60706,                 1.1835,                 1.3388,              0.0013117,              0.0013117,              0.0013117
                      8,                 1.2124,                 1.1786,                0.66168,                0.85014,                  1.337,                0.95098,                0.97007,                0.98657,                0.70223,                0.92716,                  0.925,                0.90108,                0.64095,                 1.1116,                 1.6483,                0.62916,                  1.073,                 1.4214,              0.0014888,              0.0014888,              0.0014888
                      9,                 1.3298,                 1.1299,                0.64212,                0.91881,                 1.4293,                0.86732,                   0.95,                0.95105,                0.57979,                0.84377,                  0.925,                 0.8772,                0.54926,                 1.2888,                  1.783,                0.53712,                 1.3343,                 1.7062,              0.0016625,              0.0016625,              0.0016625
                     10,                 1.4348,                 1.1258,                0.66939,                 1.0554,                  1.454,                0.90804,                   0.95,                0.95355,                0.63929,                0.81488,                   0.85,                0.86461,                0.61035,                 1.2706,                 1.4665,                0.59239,                 1.9582,                 1.5971,               0.001833,               0.001833,               0.001833
                     11,                 1.2048,                 1.0854,                0.66535,                0.91702,                 1.3348,                0.80072,                  0.825,                0.88196,                 0.5793,                0.81373,                0.76467,                0.79305,                0.51604,                 1.2005,                 1.7442,                0.41664,                 2.5364,                 1.4617,               0.001835,               0.001835,               0.001835
                     12,                 1.2411,                 0.9655,                0.63807,                0.97595,                 1.3759,                0.87196,                   0.85,                0.95005,                0.64299,                0.88078,                   0.65,                0.73587,                0.47388,                 1.2417,                 2.2064,                0.32821,                 1.9551,                 1.4986,               0.001835,               0.001835,               0.001835
                     13,                 1.3028,                 1.0561,                0.62944,                0.89241,                 1.3668,                0.74371,                0.87061,                0.84974,                0.48983,                0.70172,                0.82343,                0.77959,                0.49807,                 1.4658,                 1.8427,                0.42307,                 1.7175,                 1.7444,              0.0018185,              0.0018185,              0.0018185
                     14,                 1.2899,                0.85077,                0.63212,                0.90861,                 1.3706,                0.92601,                  0.925,                0.93379,                0.60095,                0.83034,                0.85657,                0.82994,                0.59154,                 1.3233,                 1.6706,                0.48085,                 1.2985,                 1.6495,               0.001802,               0.001802,               0.001802
