                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5088,                  2.265,                0.70014,                 1.3618,                 1.6058,                0.92654,                   0.95,                0.96125,                0.64519,                 0.8548,                  0.875,                0.87522,                0.38925,                 1.1547,                  2.491,                0.70542,                0.82125,                 1.4189,                0.00058,                0.00058,                0.00058
                      2,                 1.2892,                  1.624,                0.68226,                 1.0108,                 1.4311,                0.91328,                0.83333,                0.93416,                0.57518,                0.88223,                0.68672,                0.77797,                0.41716,                  1.324,                 2.2183,                0.67059,                 1.1682,                 1.4833,              0.0011703,              0.0011703,              0.0011703
                      3,                 1.2464,                 1.2007,                0.65793,                0.93972,                 1.3628,                0.86442,                0.90325,                0.94529,                 0.5905,                0.78322,                0.79167,                0.84642,                0.51259,                 1.2891,                 2.0543,                0.68237,                 1.1088,                 1.7015,              0.0017506,              0.0017506,              0.0017506
                      4,                 1.3243,                 1.1728,                0.65663,                 0.9438,                 1.4356,                0.79288,                0.83333,                0.90479,                 0.4865,                 0.7033,                0.75833,                0.79354,                0.42405,                 1.5569,                 2.0143,                0.58768,                 1.6158,                 1.8183,              0.0019505,              0.0019505,              0.0019505
                      5,                   1.26,                0.98831,                0.65769,                0.91056,                 1.4263,                0.91191,                0.78333,                0.91306,                 0.5826,                0.77148,                  0.675,                0.73954,                0.44592,                 1.2472,                 2.0247,                0.63779,                 1.2283,                 1.5573,              0.0019505,              0.0019505,              0.0019505
                      6,                 1.2378,                0.98858,                0.62873,                0.93022,                 1.3845,                0.77857,                0.84972,                0.87099,                0.50237,                0.73391,                0.80446,                0.78076,                 0.5293,                 1.3902,                 1.5563,                0.56748,                 1.6582,                 1.7026,               0.001934,               0.001934,               0.001934
                      7,                 1.1675,                0.96342,                0.60975,                0.86099,                 1.3297,                0.98147,                0.88266,                 0.9558,                0.66701,                0.89783,                0.80553,                0.84151,                0.69271,                 1.1725,                 1.2882,                0.73895,                  1.621,                 1.5071,              0.0019175,              0.0019175,              0.0019175
                      8,                  1.225,                0.97614,                0.63013,                0.86051,                 1.3485,                0.95423,                0.91667,                0.98311,                0.71953,                0.90043,                0.81667,                0.90235,                0.75967,                 1.0646,                 1.1009,                0.60677,                0.79536,                 1.3589,               0.001901,               0.001901,               0.001901
                      9,                 1.2224,                0.83014,                0.61046,                0.89591,                 1.3428,                0.91529,                  0.925,                0.96874,                0.70416,                0.88325,                0.88261,                 0.9122,                0.79938,                0.97747,                 1.0496,                0.46193,                 1.0703,                 1.2642,              0.0018845,              0.0018845,              0.0018845
                     10,                 1.1552,                0.68751,                0.60089,                 0.8599,                  1.309,                0.91463,                0.99167,                0.98446,                0.73458,                0.90959,                 0.8384,                0.91268,                0.77542,                0.99165,                 1.1866,                0.43085,                0.76321,                 1.2833,               0.001868,               0.001868,               0.001868
                     11,                 1.1344,                0.70807,                0.58016,                0.83257,                 1.3147,                0.92244,                0.89198,                 0.9671,                0.71387,                0.87115,                0.85833,                0.90292,                0.76985,                 1.0352,                 1.0807,                0.28978,                 0.7874,                 1.3547,              0.0018515,              0.0018515,              0.0018515
                     12,                 1.1468,                0.76108,                 0.5812,                 0.8596,                 1.3093,                0.92857,                  0.975,                 0.9785,                0.74892,                0.86088,                0.87667,                0.87401,                0.71423,                0.98073,                 1.0353,                0.28331,                0.74587,                 1.2802,               0.001835,               0.001835,               0.001835
